Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Skills_Tokenized
630427513,Sarah,Murphy,Sarah.Murphy000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,12,30000,High,3.72,High,FALSE,"['Algorithm Development', 'Creativity', 'AI Ethics and Governance', 'API Development', 'Curiosity', 'Project Management', 'Business Acumen', 'Communication', 'AI Frameworks and Libraries', 'IoT Integration', 'Cloud Computing', 'Programming Languages']"
446457407,Pamela,Sellers,Pamela.Sellers000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,21,30000,High,3,Low,FALSE,"['IoT Integration', 'API Development', 'Big Data Technologies', 'Ethical Considerations', 'Data Analysis', 'Creativity', 'Programming Languages', 'Computer Vision', 'Software Engineering Principles', 'Market Analysis', 'Adaptability', 'Business Acumen', 'Data Visualization', 'Edge Computing', 'Natural Language Processing (NLP)', 'Problem-Solving', 'Robotics', 'Database Management', 'Cloud Computing', 'Curiosity', 'Algorithm Development']"
937243952,Joshua,Anderson,Joshua.Anderson000@mymdc.net,Applied Artificial Intelligence,AI Engineer,5,82693,High,2.29,Very Low,TRUE,"['Data Engineering', 'Model Training and Evaluation', 'ETL Processes', 'Edge Computing', 'Deep Learning']"
250526321,Rachel,Mosley,Rachel.Mosley000@mymdc.net,Data Analytics,Operations Analyst,9,87657,High,3.44,Medium,TRUE,"['Robotics', 'Creativity', 'Communication', 'Data Visualization', 'Deep Learning', 'DevOps', 'ETL Processes', 'Presentation Skills', 'Ethical Considerations']"
832949183,Colleen,Allen,Colleen.Allen000@mymdc.net,Data Analytics,Marketing Analyst,5,70020,Medium,2.56,Low,TRUE,"['Curiosity', 'API Development', 'Collaboration', 'Machine Learning Algorithms', 'Computer Vision']"
369164625,William,Wilson,William.Wilson000@mymdc.net,Data Analytics,Data Scientist,22,72510,Medium,3.03,Medium,TRUE,"['Leadership', 'Data Engineering', 'AI Frameworks and Libraries', 'Deep Learning', 'Creativity', 'Critical Thinking', 'Project Management', 'Data Analysis', 'API Development', 'DevOps', 'Adaptability', 'Edge Computing', 'Robotics', 'Computer Vision', 'Ethical Considerations', 'Machine Learning Algorithms', 'Communication', 'Data Preprocessing', 'Data Visualization', 'Data-Driven Decision Making', 'Programming Languages', 'Cloud Computing']"
944625643,Teresa,Neal,Teresa.Neal000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,28,30000,High,3.58,High,FALSE,"['DevOps', 'Data Engineering', 'Creativity', 'Presentation Skills', 'Robotics', 'Database Management', 'Data-Driven Decision Making', 'AI Frameworks and Libraries', 'Data Analysis', 'Natural Language Processing (NLP)', 'ETL Processes', 'Model Training and Evaluation', 'Adaptability', 'Collaboration', 'Edge Computing', 'Cloud Computing', 'Business Acumen', 'Ethical Considerations', 'Problem-Solving', 'Data Preprocessing', 'Project Management', 'Communication', 'Leadership', 'AI Ethics and Governance', 'Algorithm Development', 'IoT Integration', 'Critical Thinking', 'Curiosity']"
886753510,Derek,Potter,Derek.Potter000@mymdc.net,Data Analytics,Marketing Analyst,10,83737,High,3.07,Medium,TRUE,"['Attention to Detail', 'Edge Computing', 'Deep Learning', 'Creativity', 'Collaboration', 'Machine Learning Algorithms', 'Data-Driven Decision Making', 'Business Acumen', 'Model Training and Evaluation', 'Computer Vision']"
599722071,Michael,Reynolds,Michael.Reynolds000@mymdc.net,Data Analytics,Business Intelligence Analyst,24,30000,High,2.67,Low,FALSE,"['Market Analysis', 'Attention to Detail', 'Data Analysis', 'Project Management', 'Deep Learning', 'Computer Vision', 'Algorithm Development', 'AI Ethics and Governance', 'Creativity', 'Leadership', 'Natural Language Processing (NLP)', 'Ethical Considerations', 'Cloud Computing', 'Adaptability', 'Data-Driven Decision Making', 'Business Acumen', 'Curiosity', 'Machine Learning Algorithms', 'Database Management', 'Programming Languages', 'Collaboration', 'Presentation Skills', 'Data Engineering', 'Big Data Technologies']"
277963602,Kathryn,Parks,Kathryn.Parks000@mymdc.net,Data Analytics,Business Intelligence Analyst,32,30000,High,3.22,Medium,FALSE,"['Software Engineering Principles', 'Leadership', 'Data Preprocessing', 'Curiosity', 'Big Data Technologies', 'Cloud Computing', 'ETL Processes', 'Data Analysis', 'Data Engineering', 'API Development', 'Business Acumen', 'DevOps', 'Programming Languages', 'Database Management', 'Data Visualization', 'Attention to Detail', 'Programming', 'AI Ethics and Governance', 'Problem-Solving', 'Creativity', 'Adaptability', 'Edge Computing', 'Market Analysis', 'Critical Thinking', 'Data-Driven Decision Making', 'Computer Vision', 'Collaboration', 'Project Management', 'AI Frameworks and Libraries', 'Deep Learning', 'Algorithm Development', 'Communication']"
158459259,Valerie,Torres,Valerie.Torres000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,32,30000,High,3.92,High,FALSE,"['Business Acumen', 'Curiosity', 'Model Training and Evaluation', 'Data Preprocessing', 'Data Analysis', 'Natural Language Processing (NLP)', 'API Development', 'Programming', 'Algorithm Development', 'AI Frameworks and Libraries', 'DevOps', 'Attention to Detail', 'Software Engineering Principles', 'Market Analysis', 'Data-Driven Decision Making', 'Cloud Computing', 'Database Management', 'Programming Languages', 'Deep Learning', 'IoT Integration', 'Adaptability', 'ETL Processes', 'Edge Computing', 'Critical Thinking', 'Big Data Technologies', 'Data Engineering', 'Presentation Skills', 'Project Management', 'Communication', 'Robotics', 'Problem-Solving', 'Computer Vision']"
604703214,Sierra,Benson,Sierra.Benson000@mymdc.net,Data Analytics,Data Analyst,24,30000,High,3.45,Medium,FALSE,"['DevOps', 'ETL Processes', 'Model Training and Evaluation', 'Big Data Technologies', 'Business Acumen', 'Data Analysis', 'Adaptability', 'Software Engineering Principles', 'Cloud Computing', 'Leadership', 'Data Visualization', 'Computer Vision', 'IoT Integration', 'Database Management', 'Edge Computing', 'Data-Driven Decision Making', 'Problem-Solving', 'Deep Learning', 'AI Frameworks and Libraries', 'Ethical Considerations', 'Curiosity', 'Creativity', 'Data Engineering', 'Data Preprocessing']"
771636322,Joan,Giles,Joan.Giles000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,28,97219,High,2.88,Low,TRUE,"['Cloud Computing', 'Problem-Solving', 'Edge Computing', 'Adaptability', 'Curiosity', 'Project Management', 'Computer Vision', 'Software Engineering Principles', 'Market Analysis', 'Attention to Detail', 'DevOps', 'Programming', 'Machine Learning Algorithms', 'AI Frameworks and Libraries', 'ETL Processes', 'Model Training and Evaluation', 'Data Engineering', 'Big Data Technologies', 'Business Acumen', 'AI Ethics and Governance', 'Programming Languages', 'Critical Thinking', 'Leadership', 'Robotics', 'Data-Driven Decision Making', 'API Development', 'Data Visualization', 'IoT Integration']"
858586343,Jeremy,Pineda,Jeremy.Pineda000@mymdc.net,Data Analytics,Data Analyst,32,91146,High,2.52,Low,TRUE,"['Programming Languages', 'Curiosity', 'Collaboration', 'Programming', 'Leadership', 'AI Ethics and Governance', 'Creativity', 'Data-Driven Decision Making', 'Data Visualization', 'Project Management', 'Model Training and Evaluation', 'Database Management', 'ETL Processes', 'Attention to Detail', 'Business Acumen', 'Ethical Considerations', 'Edge Computing', 'DevOps', 'Data Preprocessing', 'Communication', 'Adaptability', 'API Development', 'Market Analysis', 'AI Frameworks and Libraries', 'IoT Integration', 'Software Engineering Principles', 'Algorithm Development', 'Data Analysis', 'Computer Vision', 'Data Engineering', 'Robotics', 'Machine Learning Algorithms']"
933852453,Adam,Nguyen,Adam.Nguyen000@mymdc.net,Applied Artificial Intelligence,AI Engineer,17,30000,High,2.15,Very Low,FALSE,"['API Development', 'Creativity', 'Project Management', 'Database Management', 'AI Frameworks and Libraries', 'Edge Computing', 'Presentation Skills', 'Data Analysis', 'Data Visualization', 'Robotics', 'Deep Learning', 'AI Ethics and Governance', 'Critical Thinking', 'Natural Language Processing (NLP)', 'Curiosity', 'Model Training and Evaluation', 'Data Preprocessing']"
