Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Algorithm Development,Creativity,AI Ethics and Governance,API Development,Curiosity,Project Management,Business Acumen,Communication,AI Frameworks and Libraries,IoT Integration,Cloud Computing,Programming Languages,Big Data Technologies,Ethical Considerations,Data Analysis,Computer Vision,Software Engineering Principles,Market Analysis,Adaptability,Data Visualization,Edge Computing,Natural Language Processing (NLP),Problem-Solving,Robotics,Database Management,Data Engineering,Model Training and Evaluation,ETL Processes,Deep Learning,DevOps,Presentation Skills,Collaboration,Machine Learning Algorithms,Leadership,Critical Thinking,Data Preprocessing,Data-Driven Decision Making,Attention to Detail,Programming
774154734,Raymond,Barnett,Raymond.Barnett000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,32,106900,High,2.44,Very Low,True,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
110955143,Shelia,Humphrey,Shelia.Humphrey000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,17,30000,High,2.21,Very Low,False,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0
315413660,Sean,Obrien,Sean.Obrien000@mymdc.net,Data Analytics,Business Intelligence Analyst,38,81856,High,3.7,High,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
782523495,Christina,Fields,Christina.Fields000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,14,30000,High,2.85,Low,False,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
213425767,William,Morales,William.Morales000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,1,87712,High,3.22,Medium,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586892342,Sarah,Long,Sarah.Long000@mymdc.net,Data Analytics,Business Intelligence Analyst,8,30000,High,2.32,Very Low,False,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
691301404,Daniel,Cooper,Daniel.Cooper000@mymdc.net,Data Analytics,Marketing Analyst,29,30000,High,3.17,Medium,False,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0
685646099,Heidi,Anthony,Heidi.Anthony000@mymdc.net,Data Analytics,Business Intelligence Analyst,18,30000,High,2.34,Very Low,False,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
763152944,Michelle,Smith,Michelle.Smith000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,1,30000,High,2.36,Very Low,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563125603,David,Wright,David.Wright000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,6,30000,High,3.15,Medium,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
