Unnamed: 0,ID,Student_ID,First_Name,Last_Name,Email,Major,Skills,Salary,Title,Industry,GPA,City,Graduated,Number_of_Skills
415302551,sdv-pii-ste5k,sdv-pii-dr8sn,Tracy,Kim,ashley05@example.com,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-j9vb5,0,Data Analyst,Marketing and Advertising,3.98,South William,False,31
706041928,sdv-pii-e62sb,sdv-pii-hpp90,Harold,Watkins,raymondlewis@example.net,Bachelor of Science in Data Analytics,sdv-pii-lc5y0,96805,Operations Analyst,Education and E-learning,3.76,Edwardsmouth,False,33
975629174,sdv-pii-k343l,sdv-pii-4hevm,Kimberly,Ortiz,merceromar@example.net,Bachelor of Science in Data Analytics,sdv-pii-bjg62,0,Machine Learning Engineer,Finance and Banking,3.09,East Clintonstad,False,35
526959801,sdv-pii-mtitn,sdv-pii-btvrt,Aaron,Harris,patricia36@example.org,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-jemtq,78281,Computer Vision Engineer,Energy and Utilities,2.2,South Natasha,False,35
684278013,sdv-pii-h40xw,sdv-pii-hhvq7,Kenneth,Mcintosh,blackwellbrian@example.org,Bachelor of Science in Data Analytics,sdv-pii-65dni,0,Business Intelligence Analyst,Telecommunications,2.89,South Stephanieton,True,34
508467388,sdv-pii-i85db,sdv-pii-0pe7d,Lisa,Webster,kingjulia@example.com,Bachelor of Science in Data Analytics,sdv-pii-e45pl,4445,AI Engineer,Education and E-learning,3.57,West Lisa,False,35
546034658,sdv-pii-xks6p,sdv-pii-zysdn,Kim,Maynard,jgarcia@example.org,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-edfyb,2438,Operations Analyst,Manufacturing and Supply Chain,3.17,Katherineside,False,35
689224570,sdv-pii-hq9xm,sdv-pii-ec263,Leah,Williams,nealcolleen@example.org,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-9fjjl,0,Robotics Engineer,Government and Public Sector,3.89,Nicoleport,True,38
955411487,sdv-pii-qdcdz,sdv-pii-z3f83,Victoria,Ortiz,andres96@example.com,Bachelor of Science in Data Analytics,sdv-pii-7z9tu,0,Operations Analyst,Technology and Software Development,3.23,Port Holly,True,33
567592888,sdv-pii-rs4h7,sdv-pii-emgya,Walter,Coffey,alexis38@example.net,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-e23g4,0,AI Data Scientist,Finance and Banking,4.0,Stonemouth,False,35
393404201,sdv-pii-g5g4c,sdv-pii-r0rp9,John,Knox,christopher45@example.net,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-qefzt,0,Data Scientist,Retail and E-commerce,3.17,Sallyside,False,40
644755225,sdv-pii-jwahf,sdv-pii-ajpm8,Jessica,Miller,vanessawest@example.com,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-xce7z,0,AI Data Scientist,Manufacturing and Supply Chain,3.19,Jamesbury,True,36
88307258,sdv-pii-byblr,sdv-pii-g24tl,Andrew,Gomez,lindsayfoster@example.org,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-1n0m1,0,Computer Vision Engineer,Energy and Utilities,2.24,Kimberlystad,False,37
934666404,sdv-pii-j06ie,sdv-pii-xa8mi,Michael,Thomas,williamslisa@example.org,Bachelor of Science in Data Analytics,sdv-pii-vflzl,86021,AI Data Scientist,Energy and Utilities,2.17,North Jacobstad,False,38
126694736,sdv-pii-0m2cx,sdv-pii-5nbqn,Clinton,Quinn,lhoward@example.org,Bachelor of Science in Data Analytics,sdv-pii-lty27,88,Robotics Engineer,Energy and Utilities,4.0,North Robert,True,38
485917802,sdv-pii-aqecs,sdv-pii-dhumm,Eric,Calderon,leblancdavid@example.com,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-uzjnd,1552,Data Scientist,Automotive and Transportation,3.83,Russellville,False,40
322833136,sdv-pii-qw1v2,sdv-pii-i7nhx,Jorge,Bernard,briannameyer@example.net,Bachelor of Science in Applied Artificial Intelligence,sdv-pii-nasot,438,Data Analyst,Healthcare and Biotechnology,2.45,Griffithbury,False,38
